ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00293   16.57700   17.88600    0.42304    0.39100   -0.01991    0.29194    0.09552    4.66500    6.30559
OGLE-BLG-RRLYR-00345   15.50400   16.91800    0.64767    0.62300   -1.56932    0.49473    0.29816    4.45300    5.76159
OGLE-BLG-RRLYR-00346   15.83500   17.06100    0.47813    0.76700   -0.98958    0.47570    0.31207    4.21900    5.45659
OGLE-BLG-RRLYR-00349   16.33200   17.82300    0.57830    0.41900   -0.78433    0.46547    0.28614    4.59000    6.30159
OGLE-BLG-RRLYR-00350   16.60900   18.02900    0.46998    0.61200   -0.58703    0.50312    0.31641    4.41400    5.89659
OGLE-BLG-RRLYR-00351   15.65400   17.08100    0.63226    0.55500   -1.11309    0.50391    0.31829    4.63600    6.22359
OGLE-BLG-RRLYR-00352   15.69500   17.13300    0.75103    0.41100   -1.20175    0.42563    0.21229    4.88100    6.82259
OGLE-BLG-RRLYR-00353   15.94700   17.20200    0.42321    0.82000   -0.66759    0.55581    0.33814    4.21100    5.52059
OGLE-BLG-RRLYR-00355   16.28900   17.67500    0.51101    0.42800   -0.46187    0.58888    0.22652    4.71200    6.29259
OGLE-BLG-RRLYR-00356   16.08500   17.61400    0.53312    0.64400   -0.94766    0.52491    0.32655    4.31900    5.83459
OGLE-BLG-RRLYR-00357   15.76200   17.09200    0.47577    0.74800   -1.01919    0.49973    0.36846    4.22400    5.40659
OGLE-BLG-RRLYR-00359   15.61100   17.00600    0.61311    0.32000   -0.86513    0.41574    0.20078    4.68200    6.41059
OGLE-BLG-RRLYR-00360   16.50000   18.03000    0.60143    0.32800   -0.16600    0.41496    0.23345    5.01000    7.18959
OGLE-BLG-RRLYR-00362   16.13200   17.59000    0.61314    0.41500   -0.84137    0.47291    0.26741    4.71300    6.43959
OGLE-BLG-RRLYR-00364   16.03500   17.49300    0.59747    0.37300   -0.93927    0.42466    0.25272    4.66800    6.22759
OGLE-BLG-RRLYR-00366   16.68300   18.61300    0.44186    0.72500   -1.02848    0.46279    0.26797    4.11800    5.19359
OGLE-BLG-RRLYR-00367   16.39100   17.90000    0.70671    0.47100   -1.64779    0.47987    0.32272    4.44400    6.01759
OGLE-BLG-RRLYR-00369   16.16000   17.85700    0.46817    0.85500   -1.04869    0.49605    0.36965    4.09600    5.32559
OGLE-BLG-RRLYR-00371   17.82600   19.24600    0.58155    0.47800   -0.86862    0.58314    0.35411    4.35900    6.21859
OGLE-BLG-RRLYR-00372   16.06400   17.67800    0.51353    0.61400   -0.78982    0.49194    0.31306    4.34600    5.90959
OGLE-BLG-RRLYR-00373   15.57600   17.03700    0.67491    0.53600   -1.17221    0.50402    0.31056    4.71500    6.40559
OGLE-BLG-RRLYR-00375   17.15300   18.70700    0.53603    0.62800   -1.16050    0.48342    0.34310    4.23100    5.59359
OGLE-BLG-RRLYR-00376   16.68200   18.43200    0.46320    0.61400   -1.23281    0.43156    0.23744    4.08300    5.07259
OGLE-BLG-RRLYR-00377   16.29200   18.04800    0.50741    0.78000   -1.06553    0.51030    0.37427    4.18400    5.53859
OGLE-BLG-RRLYR-00381   16.49800   18.29100    0.60877    0.25700   -0.73757    0.35779    0.15142    4.73200    6.53959
OGLE-BLG-RRLYR-00388   16.54800   18.15600    0.63424    0.25300   -0.68360    0.35722    0.17732    4.77700    6.75659
OGLE-BLG-RRLYR-00391   16.42400   17.98400    0.49985    0.63000   -0.97821    0.48439    0.35073    4.23200    5.59959
OGLE-BLG-RRLYR-00392   15.88000   17.26100    0.57205    0.48500   -1.11375    0.51051    0.32673    4.35900    5.86459
OGLE-BLG-RRLYR-00395   16.10300   17.62500    0.64931    0.21000   -0.66518    0.34218    0.14450    4.68600    6.86859
OGLE-BLG-RRLYR-00397   16.12300   17.75600    0.53691    0.63300   -0.99920    0.51988    0.34584    4.34200    5.79459
OGLE-BLG-RRLYR-00400   16.20000   17.95300    0.67084    0.73600   -1.60214    0.51338    0.35467    4.50800    5.85959
OGLE-BLG-RRLYR-00409   15.68000   17.27800    0.62322    0.38900   -1.10916    0.45294    0.28866    4.54200    6.17459
OGLE-BLG-RRLYR-00410   15.86500   17.18000    0.55646    0.46300   -0.78437    0.51105    0.30120    4.55400    6.17159
OGLE-BLG-RRLYR-00413   16.51200   18.24100    0.47380    0.82600   -1.01532    0.51173    0.35887    4.11100    5.39959
OGLE-BLG-RRLYR-00414   16.25200   17.90000    0.56878    0.49500   -0.83820    0.50427    0.31942    4.55400    6.17959
OGLE-BLG-RRLYR-00415   16.71800   18.36200    0.37967    0.85600   -0.47887    0.55741    0.39348    4.16000    5.49059
OGLE-BLG-RRLYR-00417   15.64300   17.18000    0.50935    0.49600   -1.20358    0.31812    0.16690    4.33100    5.38259
